,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.618,0.841,1,-3.814,1,0.0325,0.00091,0.000163,0.0583,0.831,123.018,audio_features,0aLHvSnOVvaAFk0o8UL4og,spotify:track:0aLHvSnOVvaAFk0o8UL4og,https://api.spotify.com/v1/tracks/0aLHvSnOVvaAFk0o8UL4og,https://api.spotify.com/v1/audio-analysis/0aLHvSnOVvaAFk0o8UL4og,180640,4
1,0.697,0.778,1,-4.515,1,0.326,0.169,0.132,0.0814,0.471,158.046,audio_features,2WueTxY1xyhYzGfDEq2eDX,spotify:track:2WueTxY1xyhYzGfDEq2eDX,https://api.spotify.com/v1/tracks/2WueTxY1xyhYzGfDEq2eDX,https://api.spotify.com/v1/audio-analysis/2WueTxY1xyhYzGfDEq2eDX,124080,4
2,0.396,0.778,7,-3.99,0,0.0718,0.00246,0.00291,0.0952,0.362,166.846,audio_features,0ZfEeIu7CNHQhbCTiVv3cx,spotify:track:0ZfEeIu7CNHQhbCTiVv3cx,https://api.spotify.com/v1/tracks/0ZfEeIu7CNHQhbCTiVv3cx,https://api.spotify.com/v1/audio-analysis/0ZfEeIu7CNHQhbCTiVv3cx,188440,4
3,0.613,0.739,10,-6.478,1,0.0311,0.526,0.0,0.149,0.712,104.966,audio_features,2BkyYZmU4JuWW2sYi9EzpC,spotify:track:2BkyYZmU4JuWW2sYi9EzpC,https://api.spotify.com/v1/tracks/2BkyYZmU4JuWW2sYi9EzpC,https://api.spotify.com/v1/audio-analysis/2BkyYZmU4JuWW2sYi9EzpC,211453,4
4,0.805,0.561,1,-6.546,1,0.409,0.168,0.0,0.123,0.569,162.047,audio_features,7kVNc3Mpzc9iOjqnai93E3,spotify:track:7kVNc3Mpzc9iOjqnai93E3,https://api.spotify.com/v1/tracks/7kVNc3Mpzc9iOjqnai93E3,https://api.spotify.com/v1/audio-analysis/7kVNc3Mpzc9iOjqnai93E3,165556,4
5,0.879,0.875,11,-5.298,1,0.0685,0.0741,0.000265,0.0926,0.784,130.011,audio_features,4Ug1vwXoxWVZkarqB4XPfh,spotify:track:4Ug1vwXoxWVZkarqB4XPfh,https://api.spotify.com/v1/tracks/4Ug1vwXoxWVZkarqB4XPfh,https://api.spotify.com/v1/audio-analysis/4Ug1vwXoxWVZkarqB4XPfh,214944,4
6,0.777,0.712,10,-4.84,1,0.277,0.217,0.0,0.091,0.68,95.692,audio_features,7KbF6AdprOXEEHlsq11Z6d,spotify:track:7KbF6AdprOXEEHlsq11Z6d,https://api.spotify.com/v1/tracks/7KbF6AdprOXEEHlsq11Z6d,https://api.spotify.com/v1/audio-analysis/7KbF6AdprOXEEHlsq11Z6d,175733,4
7,0.62,0.364,7,-8.394,0,0.557,0.588,0.0,0.516,0.261,79.284,audio_features,0gXKgbci6u0d1wNo2djHEu,spotify:track:0gXKgbci6u0d1wNo2djHEu,https://api.spotify.com/v1/tracks/0gXKgbci6u0d1wNo2djHEu,https://api.spotify.com/v1/audio-analysis/0gXKgbci6u0d1wNo2djHEu,249440,4
8,0.752,0.65,4,-6.194,1,0.0334,0.264,1.38e-06,0.313,0.904,141.16,audio_features,0ClnfM4PI0wjlCVTJc9lP7,spotify:track:0ClnfM4PI0wjlCVTJc9lP7,https://api.spotify.com/v1/tracks/0ClnfM4PI0wjlCVTJc9lP7,https://api.spotify.com/v1/audio-analysis/0ClnfM4PI0wjlCVTJc9lP7,177000,4
9,0.784,0.391,3,-10.628,1,0.215,0.804,0.0,0.18,0.711,90.789,audio_features,294r8rdOqr0Nv1vuV5u8Qv,spotify:track:294r8rdOqr0Nv1vuV5u8Qv,https://api.spotify.com/v1/tracks/294r8rdOqr0Nv1vuV5u8Qv,https://api.spotify.com/v1/audio-analysis/294r8rdOqr0Nv1vuV5u8Qv,116715,4
10,0.573,0.385,7,-5.379,0,0.0686,0.746,0.0,0.107,0.345,131.804,audio_features,0mknlibAARXVk3d8pafTUg,spotify:track:0mknlibAARXVk3d8pafTUg,https://api.spotify.com/v1/tracks/0mknlibAARXVk3d8pafTUg,https://api.spotify.com/v1/audio-analysis/0mknlibAARXVk3d8pafTUg,230853,4
11,0.783,0.86,11,-5.596,0,0.0527,0.021,6.33e-05,0.026,0.876,125.008,audio_features,2sNZf0qzqXfHMrSomiNsOz,spotify:track:2sNZf0qzqXfHMrSomiNsOz,https://api.spotify.com/v1/tracks/2sNZf0qzqXfHMrSomiNsOz,https://api.spotify.com/v1/audio-analysis/2sNZf0qzqXfHMrSomiNsOz,219693,4
12,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,audio_features,5hc71nKsUgtwQ3z52KEKQk,spotify:track:5hc71nKsUgtwQ3z52KEKQk,https://api.spotify.com/v1/tracks/5hc71nKsUgtwQ3z52KEKQk,https://api.spotify.com/v1/audio-analysis/5hc71nKsUgtwQ3z52KEKQk,347520,4
13,0.815,0.284,0,-7.057,1,0.0427,0.867,0.00105,0.0987,0.449,73.785,audio_features,6UryEVkqPDLliZOG4UmFi9,spotify:track:6UryEVkqPDLliZOG4UmFi9,https://api.spotify.com/v1/tracks/6UryEVkqPDLliZOG4UmFi9,https://api.spotify.com/v1/audio-analysis/6UryEVkqPDLliZOG4UmFi9,98347,4
14,0.342,0.573,6,-8.397,1,0.258,0.134,0.0,0.229,0.271,89.674,audio_features,2T4SAwloHxRAtpD2hgykdA,spotify:track:2T4SAwloHxRAtpD2hgykdA,https://api.spotify.com/v1/tracks/2T4SAwloHxRAtpD2hgykdA,https://api.spotify.com/v1/audio-analysis/2T4SAwloHxRAtpD2hgykdA,205213,4
15,0.724,0.55,11,-9.468,0,0.0577,0.00131,0.129,0.36,0.457,125.963,audio_features,35rKES1xTTAg5ruZvM81JK,spotify:track:35rKES1xTTAg5ruZvM81JK,https://api.spotify.com/v1/tracks/35rKES1xTTAg5ruZvM81JK,https://api.spotify.com/v1/audio-analysis/35rKES1xTTAg5ruZvM81JK,206899,4
16,0.928,0.62,8,-5.24,0,0.103,0.208,0.000823,0.0609,0.863,112.986,audio_features,3tMnc9ghfuiXTU6WMO0iby,spotify:track:3tMnc9ghfuiXTU6WMO0iby,https://api.spotify.com/v1/tracks/3tMnc9ghfuiXTU6WMO0iby,https://api.spotify.com/v1/audio-analysis/3tMnc9ghfuiXTU6WMO0iby,188598,4
17,0.63,0.409,0,-8.83,0,0.0903,0.119,0.629,0.121,0.332,122.848,audio_features,23zJcKwLf5CeaKVbFhrWgF,spotify:track:23zJcKwLf5CeaKVbFhrWgF,https://api.spotify.com/v1/tracks/23zJcKwLf5CeaKVbFhrWgF,https://api.spotify.com/v1/audio-analysis/23zJcKwLf5CeaKVbFhrWgF,143773,4
18,0.658,0.814,4,-5.121,0,0.116,0.157,3.48e-05,0.0507,0.221,90.033,audio_features,5GBRnEgg3xzJ3aQA6klSP0,spotify:track:5GBRnEgg3xzJ3aQA6klSP0,https://api.spotify.com/v1/tracks/5GBRnEgg3xzJ3aQA6klSP0,https://api.spotify.com/v1/audio-analysis/5GBRnEgg3xzJ3aQA6klSP0,219067,4
19,0.718,0.8,9,-5.715,1,0.0587,0.00588,1.63e-05,0.337,0.266,117.98,audio_features,0HvWmBkbmbm07pMvjahFbv,spotify:track:0HvWmBkbmbm07pMvjahFbv,https://api.spotify.com/v1/tracks/0HvWmBkbmbm07pMvjahFbv,https://api.spotify.com/v1/audio-analysis/0HvWmBkbmbm07pMvjahFbv,205928,4
20,0.631,0.923,11,-3.0,0,0.396,0.36,0.0,0.349,0.544,94.202,audio_features,2vATDAftePyHSrY4rP5nmr,spotify:track:2vATDAftePyHSrY4rP5nmr,https://api.spotify.com/v1/tracks/2vATDAftePyHSrY4rP5nmr,https://api.spotify.com/v1/audio-analysis/2vATDAftePyHSrY4rP5nmr,206000,4
