Position,Track Name,Artist,Streams,date,region,spotify_id
1,"break up with your girlfriend, i'm bored",Ariana Grande,22675728,2019-02-08--2019-02-15,us,4kV4N9D1iKVxx1KLvtTpjS
2,7 rings,Ariana Grande,22236010,2019-02-08--2019-02-15,us,6ocbgoVGwYJhOv1GgI9NsF
3,NASA,Ariana Grande,14921998,2019-02-08--2019-02-15,us,4SPu0Ql902hTVXkBoNIYtq
4,needy,Ariana Grande,14600217,2019-02-08--2019-02-15,us,1TEL6MlSSVLSdhOSddidlJ
5,bad idea,Ariana Grande,13171879,2019-02-08--2019-02-15,us,7EQpvVujgytLVY8vKiDHAg
6,bloodline,Ariana Grande,12807206,2019-02-08--2019-02-15,us,2hloaUoRonYssMuqLCBLTX
7,"thank u, next",Ariana Grande,12568430,2019-02-08--2019-02-15,us,3e9HZxeyfWwjeyPAMmWSSQ
8,fake smile,Ariana Grande,11949104,2019-02-08--2019-02-15,us,3wFLWP0FcIqHK1wb1CPthQ
9,ghostin,Ariana Grande,11610066,2019-02-08--2019-02-15,us,4lD7gHKF1e8Y9stQuVezZB
10,Wow.,Post Malone,11514041,2019-02-08--2019-02-15,us,6MWtB6iiXyIwun0YzU6DFP
11,MIDDLE CHILD,J. Cole,11456611,2019-02-08--2019-02-15,us,2JvzF1RMd7lE3KmFlsyZD8
12,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10787469,2019-02-08--2019-02-15,us,3KkXRkHbMCARz0aVfEt68P
13,imagine,Ariana Grande,10452617,2019-02-08--2019-02-15,us,39LmTF9RgyakzSYX8txrow
14,in my head,Ariana Grande,10230284,2019-02-08--2019-02-15,us,4T652DlATVHe0jdLKaN3Bw
15,bury a friend,Billie Eilish,9261316,2019-02-08--2019-02-15,us,4NzMOnvSJVNKF7nw5NkXIP
16,make up,Ariana Grande,9185453,2019-02-08--2019-02-15,us,27356GVuMPFWiJSZCragoM
17,Going Bad (feat. Drake),Meek Mill,9182213,2019-02-08--2019-02-15,us,2IRZnDFmlqMuOrYOLnZZyc
18,a lot,21 Savage,9097281,2019-02-08--2019-02-15,us,2t8yVaLvJ0RenpXUIAC52d
19,Thotiana,Blueface,8180292,2019-02-08--2019-02-15,us,3oh6SCCeLuXhFpEyepla6G
20,Talk,Khalid,7917374,2019-02-08--2019-02-15,us,0rTV5WefWd1J3OwIheTzxM
21,Look Back at It,A Boogie Wit da Hoodie,7131203,2019-02-08--2019-02-15,us,3Ol2xnObFdKV9pmRD2t9x8
22,SICKO MODE,Travis Scott,7081816,2019-02-08--2019-02-15,us,2xLMifQCjDGFmkHkpNLD9h
