,Position,Track Name,Artist,Streams,date,region,spotify_id
0,1.0,"break up with your girlfriend, i'm bored",Ariana Grande,22675728.0,2019-02-08--2019-02-15,us,4kV4N9D1iKVxx1KLvtTpjS
1,2.0,7 rings,Ariana Grande,22236010.0,2019-02-08--2019-02-15,us,6ocbgoVGwYJhOv1GgI9NsF
2,3.0,NASA,Ariana Grande,14921998.0,2019-02-08--2019-02-15,us,4SPu0Ql902hTVXkBoNIYtq
3,4.0,needy,Ariana Grande,14600217.0,2019-02-08--2019-02-15,us,1TEL6MlSSVLSdhOSddidlJ
4,5.0,bad idea,Ariana Grande,13171879.0,2019-02-08--2019-02-15,us,7EQpvVujgytLVY8vKiDHAg
5,6.0,bloodline,Ariana Grande,12807206.0,2019-02-08--2019-02-15,us,2hloaUoRonYssMuqLCBLTX
6,7.0,"thank u, next",Ariana Grande,12568430.0,2019-02-08--2019-02-15,us,3e9HZxeyfWwjeyPAMmWSSQ
7,8.0,fake smile,Ariana Grande,11949104.0,2019-02-08--2019-02-15,us,3wFLWP0FcIqHK1wb1CPthQ
8,9.0,ghostin,Ariana Grande,11610066.0,2019-02-08--2019-02-15,us,4lD7gHKF1e8Y9stQuVezZB
9,10.0,Wow.,Post Malone,11514041.0,2019-02-08--2019-02-15,us,6MWtB6iiXyIwun0YzU6DFP
10,11.0,MIDDLE CHILD,J. Cole,11456611.0,2019-02-08--2019-02-15,us,2JvzF1RMd7lE3KmFlsyZD8
11,12.0,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10787469.0,2019-02-08--2019-02-15,us,3KkXRkHbMCARz0aVfEt68P
12,13.0,imagine,Ariana Grande,10452617.0,2019-02-08--2019-02-15,us,39LmTF9RgyakzSYX8txrow
13,14.0,in my head,Ariana Grande,10230284.0,2019-02-08--2019-02-15,us,4T652DlATVHe0jdLKaN3Bw
14,15.0,bury a friend,Billie Eilish,9261316.0,2019-02-08--2019-02-15,us,4NzMOnvSJVNKF7nw5NkXIP
15,16.0,make up,Ariana Grande,9185453.0,2019-02-08--2019-02-15,us,27356GVuMPFWiJSZCragoM
16,17.0,Going Bad (feat. Drake),Meek Mill,9182213.0,2019-02-08--2019-02-15,us,2IRZnDFmlqMuOrYOLnZZyc
17,18.0,a lot,21 Savage,9097281.0,2019-02-08--2019-02-15,us,2t8yVaLvJ0RenpXUIAC52d
18,19.0,Thotiana,Blueface,8180292.0,2019-02-08--2019-02-15,us,3oh6SCCeLuXhFpEyepla6G
19,20.0,Talk,Khalid,7917374.0,2019-02-08--2019-02-15,us,0rTV5WefWd1J3OwIheTzxM
20,21.0,Look Back at It,A Boogie Wit da Hoodie,7131203.0,2019-02-08--2019-02-15,us,3Ol2xnObFdKV9pmRD2t9x8
21,22.0,SICKO MODE,Travis Scott,7081816.0,2019-02-08--2019-02-15,us,2xLMifQCjDGFmkHkpNLD9h
22,23.0,Drip Too Hard (Lil Baby & Gunna),Lil Baby,6994967.0,2019-02-08--2019-02-15,us,78QR3Wp35dqAhFEc2qAGjE
23,24.0,Without Me,Halsey,6970809.0,2019-02-08--2019-02-15,us,5p7ujcrUXASCNwRaWNHR1C
24,25.0,Happier,Marshmello,6289452.0,2019-02-08--2019-02-15,us,2dpaYNEQHiRxtZbfNsse99
25,26.0,ZEZE (feat. Travis Scott & Offset),Kodak Black,5769954.0,2019-02-08--2019-02-15,us,0FZ4Dmg8jJJAPJnvBIzD9z
26,27.0,Mo Bamba,Sheck Wes,5719273.0,2019-02-08--2019-02-15,us,1xzBco0xcoJEDXktl7Jxrr
27,28.0,Dancing With A Stranger (with Normani),Sam Smith,5430045.0,2019-02-08--2019-02-15,us,6Qs4SXO9dwPj5GKvVOv8Ki
28,29.0,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,4873513.0,2019-02-08--2019-02-15,us,1wJRveJZLSb1rjhnUHQiv6
29,30.0,Wake Up in the Sky,Gucci Mane,4829784.0,2019-02-08--2019-02-15,us,2G1tXoGBaEMJ7FKGnkf6ud
30,1.0,7 rings,Ariana Grande,15473583.0,2019-02-15--2019-02-22,us,6ocbgoVGwYJhOv1GgI9NsF
31,2.0,"break up with your girlfriend, i'm bored",Ariana Grande,14664161.0,2019-02-15--2019-02-22,us,4kV4N9D1iKVxx1KLvtTpjS
