id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27KSwBOQTjGWt2Fe8fNAwq,0.947,0.58,1,-7.635,1,0.46,0.027,0.0,0.0616,0.778,127.046,155572,4
43RSiN5Os4MiYwj3fNVomY,0.561,0.358,0,-7.024,1,0.186,0.158,0.0,0.126,0.122,72.878,55267,4
2dMUJy0El3BcQUy9gP9gt0,0.713,0.592,4,-4.621,0,0.0272,0.181,0.0,0.338,0.619,106.013,170297,4
0qWsp7jWCCLJtHWGB6NGBB,0.449,0.307,6,-9.575,1,0.0682,0.787,0.0,0.142,0.346,116.901,203636,1
5tpEGhK123kgPf7pWWE9g6,0.839,0.572,10,-5.312,0,0.0945,0.0423,0.0,0.0905,0.404,97.991,190480,4
2PlrYKsGndAMJ0qqVVPCoV,0.313,0.426,8,-9.049,1,0.0435,0.853,0.00037,0.181,0.107,95.159,209107,4
01NaNxAEmbxcmbfvCFQduv,0.369,0.444,10,-10.074,0,0.232,0.331,0.0,0.152,0.385,89.572,228187,5
28FPM0O8fic4eJM7o9bpAY,0.726,0.667,2,-6.258,1,0.0454,0.357,0.0,0.0591,0.643,129.019,208320,4
62VpKdGyA7OIyUCj3a3LPU,0.632,0.743,1,-6.761,1,0.0464,0.038,0.0,0.115,0.357,108.077,169597,4
6iM4P6am0dIL2lNKPbg1Xw,0.714,0.522,7,-7.795,1,0.0563,0.198,2.8e-05,0.104,0.816,125.007,182413,4
2kGznkv6myGdlNTozvRG67,0.717,0.87,4,-4.411,1,0.0295,0.00178,2.94e-06,0.088,0.962,134.956,242440,4
0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,235133,4
2mWb172p8SCACG6Peh3Qmt,0.76,0.463,10,-6.511,1,0.0599,0.164,0.0,0.0884,0.184,126.938,288427,4
1VazDHnEgqsDRDzWwYXfRl,0.753,0.613,6,-6.814,0,0.0601,0.147,1.96e-06,0.121,0.757,90.003,226667,4
17Ko2HhcCAHaXYLwV4uC8C,0.638,0.381,4,-10.807,1,0.0289,0.386,0.00815,0.124,0.15,127.904,213927,4
5CTzapBNGovLrqPas4cy7J,0.576,0.486,7,-9.727,1,0.154,0.456,0.134,0.0676,0.178,165.816,321387,4
36wy8sKYBYQKdOBeqA5F0U,0.443,0.47,10,-8.587,1,0.101,0.725,1.06e-06,0.101,0.483,82.546,223587,4
7JSR685hpFDqvTSNHeSKjL,0.503,0.389,3,-9.096,1,0.0304,0.77,0.0271,0.111,0.327,105.823,247413,4
0PV1TFUMTBrDETzW6KQulB,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,286440,4
28XvT0F0E4sVamI6JRVnmU,0.729,0.816,7,-4.551,1,0.129,0.0317,0.000495,0.231,0.288,100.052,204728,4
22WV03i2lBbwNVCE1g671p,0.756,0.867,7,-3.626,1,0.162,0.155,0.00285,0.33,0.666,129.983,156780,4
5zWsOD8aSwx5P7kGb6gQTw,0.467,0.422,9,-11.077,0,0.0703,0.238,0.169,0.096,0.588,76.818,292000,4
69cWxwoTdeCFPNsF25hNCt,0.558,0.966,7,-2.538,0,0.0744,0.0458,0.0,0.129,0.515,122.953,251567,4
5xJeZ6tLPOXNIrrphEIuay,0.539,0.804,10,-5.504,0,0.172,0.00247,0.000185,0.463,0.798,85.752,93840,4
4UOXo3xWnxYdTf3sFyRaUG,0.805,0.924,7,-5.883,0,0.0439,0.391,0.00448,0.0902,0.836,139.976,181971,4
2PPJ49WjSLWpMkGrAEsprg,0.498,0.666,6,-5.907,0,0.381,0.186,0.0,0.0794,0.399,177.844,193387,4
5oQcOu1omDykbIPSdSQQNJ,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974,193000,4
0ToC28lLiwEKyQdN4FXypS,0.607,0.713,5,-6.206,1,0.243,0.166,0.0,0.769,0.482,134.994,245333,4
1t4pPnbkOjzoA5RvsDjvUU,0.811,0.57,5,-8.093,1,0.129,0.253,0.0,0.148,0.814,128.066,251250,4
3nsgHGUtMnU1MSgy30fHvh,0.733,0.799,4,-4.203,0,0.0545,0.0465,1.61e-06,0.185,0.577,118.067,172791,4
4UjFWIhRkhrR3mul5gLV5S,0.422,0.629,9,-6.192,0,0.0372,0.489,0.0,0.0974,0.215,76.378,247680,4
2Q0JkTzFXrU2BbnQT7tzIR,0.769,0.718,2,-5.504,1,0.164,0.136,0.0,0.0746,0.705,89.994,187773,4
7t69QzoFM2AzsBAlKKVQKO,0.739,0.753,8,-5.681,1,0.393,0.313,0.0,0.0931,0.396,165.996,118656,4
2vATDAftePyHSrY4rP5nmr,0.631,0.923,11,-3.0,0,0.396,0.36,0.0,0.349,0.544,94.202,206000,4
5Uu4RsEPySR6TyUqXGnDGr,0.777,0.733,8,-4.014,0,0.243,0.358,0.0,0.462,0.872,148.02,163520,4
5LZSbI69nEiqXSHCqaHQWE,0.819,0.589,5,-18.215,0,0.239,0.00306,0.95,0.0514,0.931,108.538,106175,4
4cBSVGEHvZCPGKq2UnB26P,0.726,0.752,7,-7.401,0,0.0931,0.0529,0.145,0.201,0.174,128.035,195454,4
1jM6fCYnlLCV8t3run0yUl,0.675,0.694,8,-4.334,1,0.14,0.401,0.0,0.17,0.472,144.04,243708,4
6FyRXC8tJUh863JCkyWqtk,0.767,0.709,1,-4.47,1,0.336,0.323,0.0,0.0676,0.72,171.993,258639,4
6MJUCumnQsQEKbCy28tbCP,0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,207853,4
2eqDUxbd0JPEhNrJdPlHLs,0.685,0.944,5,-2.793,1,0.145,0.0856,0.0,0.0927,0.757,124.987,235547,4
2aYmP5Ar225yAtOvL6u7cS,0.625,0.824,0,-9.241,1,0.0396,0.0919,1.09e-06,0.117,0.384,107.984,264504,4
1qIqGax1IQqJm5H1QxqLcJ,0.485,0.567,0,-7.821,1,0.0668,0.602,0.0,0.202,0.344,157.459,211592,3
0ACu78PvVsOFYIKgRkKbGZ,0.517,0.335,4,-13.104,1,0.0324,0.561,0.0,0.0876,0.163,138.096,244360,4
1otG6j1WHNvl9WgXLWkHTo,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,207455,4
6PFyGdWw0qnstR8KJAWrrr,0.673,0.61,1,-4.73,0,0.0356,0.00662,0.0,0.0572,0.343,122.063,209200,4
35V6qXUDCvwZdmbKe5PlPG,0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,199048,4
5LVoGJTyG6fLJgoGkY2QAZ,0.704,0.69,6,-5.451,1,0.16,0.249,0.0,0.123,0.402,144.045,271080,4
0alSPoUfrGb0RdVVG4Lf3n,0.646,0.573,7,-5.716,0,0.041,0.00949,3.98e-05,0.0932,0.109,134.979,235227,4
7ioTfkfPQ6p9tATs9sCZmk,0.407,0.388,6,-7.05,1,0.0364,0.598,0.0,0.171,0.35,171.503,286080,4
0b9KkFVuiKep5IH8O5O8OX,0.615,0.581,6,-5.528,1,0.157,0.0772,0.0,0.144,0.388,100.02,188730,4
63Saeg5a3aY8sjitGOCq0F,0.471,0.882,0,-5.271,1,0.0653,0.0042,0.00212,0.12,0.647,130.89,249856,4
0xKNTDmIym4R2TfKnS4FQo,0.769,0.817,0,-4.092,0,0.0339,0.0268,9.95e-05,0.084,0.866,139.979,218615,4
0pIM7qcu5cOjqwFEFqbVn1,0.629,0.877,0,-5.902,1,0.0826,0.044,0.0,0.345,0.966,142.006,181093,4
07FOCFJhMmCVQDyWX1d3gR,0.715,0.649,2,-11.294,1,0.109,0.036,0.0199,0.0795,0.478,100.077,212107,4
7f0vVL3xi4i78Rv5Ptn2s1,0.522,0.923,2,-4.56,1,0.0539,0.0125,0.017,0.0854,0.595,170.057,245960,4
1Mew3ipJFmRpSj83LRyxod,0.61,0.31,4,-14.391,1,0.0262,0.437,0.0,0.22,0.381,107.525,182960,3
1gGhqfs2pDTOI30AEXMXrn,0.803,0.599,1,-5.169,1,0.0985,0.111,0.0,0.236,0.484,130.107,163525,4
4lsEHglVsLzILTDQ3CNESV,0.51,0.44,2,-11.015,1,0.0293,0.125,0.0,0.0994,0.135,74.8,281200,4
7gzxLXfpKJXrueC2dwQMD5,0.494,0.923,8,-4.42,0,0.172,0.197,0.0,0.106,0.801,179.946,245360,4
2skmOCFU64Bg7Ytkgwliwe,0.633,0.754,8,-6.495,1,0.0382,0.0316,2.27e-05,0.091,0.641,137.047,218707,4
6X6SdJzxyw7GzxwP2fr9WV,0.74,0.669,0,-5.199,1,0.0373,0.0445,0.0,0.184,0.536,122.007,218868,4
6914ZWSnIGPlQkNgQldTmT,0.565,0.603,9,-6.33,1,0.177,0.0264,4.02e-05,0.0738,0.171,177.996,210000,4
3U21A07gAloCc4P7J8rxcn,0.925,0.31,11,-6.531,0,0.291,0.123,0.0,0.0931,0.291,121.927,145507,4
0JAQUGJudVlhRoAqqhVoYX,0.514,0.877,6,-4.828,1,0.0427,0.00614,0.0,0.658,0.805,146.983,210161,4
454UyoTlRt9FFI9ErpMPMk,0.725,0.888,5,-4.272,1,0.246,0.384,0.00269,0.163,0.595,87.011,154483,4
0dXNQ8dckG4eYfEtq9zcva,0.54,0.803,8,-5.194,1,0.0358,0.00403,0.0,0.33,0.501,144.997,197640,4
6vAQtUlYrzolE6SS9QCTs5,0.499,0.97,0,-2.838,1,0.116,0.000683,0.136,0.0871,0.0506,106.558,340132,4
66pxmg3Jhjm09tHoWR1wVR,0.612,0.848,6,-3.736,1,0.0368,0.00916,0.0,0.366,0.719,120.996,212893,4
2BNQpd87nSv475zdww9K0Z,0.623,0.65,11,-3.786,0,0.032,0.0188,0.0,0.0687,0.366,112.072,175223,4
6LQBQNvnReU34b5BHMX8XL,0.694,0.303,2,-9.795,1,0.0279,0.858,0.000162,0.117,0.313,107.172,397480,4
7tjXeAUgZEe2yE6nSOcqWA,0.952,0.334,1,-11.375,1,0.471,0.208,1.57e-05,0.113,0.274,117.977,144407,4
