,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.947,0.58,1,-7.635,1,0.46,0.027,0.0,0.0616,0.778,127.046,audio_features,27KSwBOQTjGWt2Fe8fNAwq,spotify:track:27KSwBOQTjGWt2Fe8fNAwq,https://api.spotify.com/v1/tracks/27KSwBOQTjGWt2Fe8fNAwq,https://api.spotify.com/v1/audio-analysis/27KSwBOQTjGWt2Fe8fNAwq,155572,4
1,0.561,0.358,0,-7.024,1,0.186,0.158,0.0,0.126,0.122,72.878,audio_features,43RSiN5Os4MiYwj3fNVomY,spotify:track:43RSiN5Os4MiYwj3fNVomY,https://api.spotify.com/v1/tracks/43RSiN5Os4MiYwj3fNVomY,https://api.spotify.com/v1/audio-analysis/43RSiN5Os4MiYwj3fNVomY,55267,4
2,0.713,0.592,4,-4.621,0,0.0272,0.181,0.0,0.338,0.619,106.013,audio_features,2dMUJy0El3BcQUy9gP9gt0,spotify:track:2dMUJy0El3BcQUy9gP9gt0,https://api.spotify.com/v1/tracks/2dMUJy0El3BcQUy9gP9gt0,https://api.spotify.com/v1/audio-analysis/2dMUJy0El3BcQUy9gP9gt0,170297,4
3,0.449,0.307,6,-9.575,1,0.0682,0.787,0.0,0.142,0.346,116.901,audio_features,0qWsp7jWCCLJtHWGB6NGBB,spotify:track:0qWsp7jWCCLJtHWGB6NGBB,https://api.spotify.com/v1/tracks/0qWsp7jWCCLJtHWGB6NGBB,https://api.spotify.com/v1/audio-analysis/0qWsp7jWCCLJtHWGB6NGBB,203636,1
4,0.839,0.572,10,-5.312,0,0.0945,0.0423,0.0,0.0905,0.404,97.991,audio_features,5tpEGhK123kgPf7pWWE9g6,spotify:track:5tpEGhK123kgPf7pWWE9g6,https://api.spotify.com/v1/tracks/5tpEGhK123kgPf7pWWE9g6,https://api.spotify.com/v1/audio-analysis/5tpEGhK123kgPf7pWWE9g6,190480,4
5,0.313,0.426,8,-9.049,1,0.0435,0.853,0.00037,0.181,0.107,95.159,audio_features,2PlrYKsGndAMJ0qqVVPCoV,spotify:track:2PlrYKsGndAMJ0qqVVPCoV,https://api.spotify.com/v1/tracks/2PlrYKsGndAMJ0qqVVPCoV,https://api.spotify.com/v1/audio-analysis/2PlrYKsGndAMJ0qqVVPCoV,209107,4
6,0.369,0.444,10,-10.074,0,0.232,0.331,0.0,0.152,0.385,89.572,audio_features,01NaNxAEmbxcmbfvCFQduv,spotify:track:01NaNxAEmbxcmbfvCFQduv,https://api.spotify.com/v1/tracks/01NaNxAEmbxcmbfvCFQduv,https://api.spotify.com/v1/audio-analysis/01NaNxAEmbxcmbfvCFQduv,228187,5
7,0.726,0.667,2,-6.258,1,0.0454,0.357,0.0,0.0591,0.643,129.019,audio_features,28FPM0O8fic4eJM7o9bpAY,spotify:track:28FPM0O8fic4eJM7o9bpAY,https://api.spotify.com/v1/tracks/28FPM0O8fic4eJM7o9bpAY,https://api.spotify.com/v1/audio-analysis/28FPM0O8fic4eJM7o9bpAY,208320,4
8,0.632,0.743,1,-6.761,1,0.0464,0.038,0.0,0.115,0.357,108.077,audio_features,62VpKdGyA7OIyUCj3a3LPU,spotify:track:62VpKdGyA7OIyUCj3a3LPU,https://api.spotify.com/v1/tracks/62VpKdGyA7OIyUCj3a3LPU,https://api.spotify.com/v1/audio-analysis/62VpKdGyA7OIyUCj3a3LPU,169597,4
9,0.714,0.522,7,-7.795,1,0.0563,0.198,2.8e-05,0.104,0.816,125.007,audio_features,6iM4P6am0dIL2lNKPbg1Xw,spotify:track:6iM4P6am0dIL2lNKPbg1Xw,https://api.spotify.com/v1/tracks/6iM4P6am0dIL2lNKPbg1Xw,https://api.spotify.com/v1/audio-analysis/6iM4P6am0dIL2lNKPbg1Xw,182413,4
