,spotify_id
0,6pgN3d6oBrhmrSAKBfWNsf
1,0aLHvSnOVvaAFk0o8UL4og
2,2WueTxY1xyhYzGfDEq2eDX
3,0ZfEeIu7CNHQhbCTiVv3cx
4,2BkyYZmU4JuWW2sYi9EzpC
5,6ocbgoVGwYJhOv1GgI9NsF
6,0gGfmw4csswZmFPj9YK8GW
7,6X29iaaazwho3ab7GNue5r
8,7kVNc3Mpzc9iOjqnai93E3
9,4Ug1vwXoxWVZkarqB4XPfh
10,4Z9cAwlkruSbWblPBthygg
11,2wrJq5XKLnmhRXHIAf9xBa
12,4mGdjNMo0RonTlOEb7cYg4
13,7KbF6AdprOXEEHlsq11Z6d
14,0gXKgbci6u0d1wNo2djHEu
15,4sjiIpEv617LDXaidKioOI
16,0ClnfM4PI0wjlCVTJc9lP7
17,294r8rdOqr0Nv1vuV5u8Qv
18,0mknlibAARXVk3d8pafTUg
19,2sNZf0qzqXfHMrSomiNsOz
20,1eto1iY3lVWyJhejV6Mi6J
21,4sjiIpEv617LDXaidKioOI
22,2XWjPtKdi5sucFYtVav07d
23,5hc71nKsUgtwQ3z52KEKQk
24,2BgEsaKNfHUdlh97KmvFyo
25,6UryEVkqPDLliZOG4UmFi9
26,2T4SAwloHxRAtpD2hgykdA
27,35rKES1xTTAg5ruZvM81JK
28,3tMnc9ghfuiXTU6WMO0iby
29,23zJcKwLf5CeaKVbFhrWgF
30,5GBRnEgg3xzJ3aQA6klSP0
31,0HvWmBkbmbm07pMvjahFbv
32,2vATDAftePyHSrY4rP5nmr
33,6RjW45KHJ6kgI2xQ1aFa52
34,5L0X8T8HNaUAIYw1oofg1M
35,3jbT1Y5MoPwEIpZndDDwVq
36,1M4qEo4HE3PRaCOM7EXNJq
37,1M4qEo4HE3PRaCOM7EXNJq
38,1otG6j1WHNvl9WgXLWkHTo
39,1SymEzIT3H8UZfibCs3TYi
40,6PFyGdWw0qnstR8KJAWrrr
41,3ESSGgWzRf1xvP7G5hHMhB
42,3ESSGgWzRf1xvP7G5hHMhB
43,1xADYlM5rjnbJvAW2tc0qF
44,3gOlVEwSmsrqKt590wbWt3
45,4iXW8iEv7QzeWn71OU4NU2
46,7fftC401ke4BzA3ucPIXES
47,5naYe7rLMZcLfO1DKg48MK
48,56qdpEICxwSAGhCcqniHiS
49,4Yxc55NX3tAXC2mHRAhtcW
50,61HVbcNeRACZpyvHrc3AnD
51,3LHcAmB9JJ1pVsfTLersFD
52,5eWxOg6tDkf5tJagNuVSbo
53,5Xq7KPZSONkhHx6DFTAbTz
54,0dXNQ8dckG4eYfEtq9zcva
55,2mfahQ0EaaZWq4cFNg6A1o
56,2XwZVmVemHI3rZX7Y0TCb7
57,6IRdLKIyS4p7XNiP8r6rsx
58,0USZx50eApN045zIIyjePN
59,10unIjOu5Jurco3SDbV4HZ
60,1208GstXdoAE2jD3fbIpcX
61,1ucn3B55IQQcQ8PPHcFtDS
62,1YscJ7yVTlFxW3eF6pv5ba
63,6IAgarq2wDeYzpsY2Kx0Hw
64,2BYXQtJVwUU3RXu5IXyYqB
65,5NJGDar4uYdUTd0huY05JI
66,0bMbDctzMmTyK2j74j3nF3
67,5zCunX8URvLoBHlg1Fnjv6
68,59aZ0ioyVrmtdut1KfU5aT
69,0m3Ze0cy8qBHSsV2exAfCw
70,3xEozpt8pAptvpH69iJhOw
71,0SZRWZnSbvPmTVWcOjoQoo
72,2qJkesdHu9sMMVFgkRkqhQ
73,6k71NlTnn41Vk7RJX7CSbY
74,3tld41qK6W6xBMea9WIhLC
75,1fBl642IhJOE5U319Gy2Go
76,0YZEYxd1oiqZRFhnnmTKKi
77,6sLohu3lQbmMhYVnb6OTvw
78,2Fn4gZI3MAeWTiv7cSVxZQ
