,0
0,27KSwBOQTjGWt2Fe8fNAwq
1,27KSwBOQTjGWt2Fe8fNAwq
2,43RSiN5Os4MiYwj3fNVomY
3,2dMUJy0El3BcQUy9gP9gt0
4,1tNJrcVe6gwLEiZCtprs1u
5,1OfLNb6dQ9dra1B58iT9Ex
6,0qWsp7jWCCLJtHWGB6NGBB
7,5tpEGhK123kgPf7pWWE9g6
8,2PlrYKsGndAMJ0qqVVPCoV
9,01NaNxAEmbxcmbfvCFQduv
10,6JyEh4kl9DLwmSAoNDRn5b
11,28FPM0O8fic4eJM7o9bpAY
12,62VpKdGyA7OIyUCj3a3LPU
13,6iM4P6am0dIL2lNKPbg1Xw
14,2kGznkv6myGdlNTozvRG67
15,11kDth1aKUEUMq9r1pqyds
16,1hHe7cirScEJWgAS0JFqTL
17,0gPQTLaqHDgdupKEok7J2x
18,4zRZAmBQP8vhNPf9i9opXt
19,0zqy3ss4CwD6u4QPksS0nI
20,2mWb172p8SCACG6Peh3Qmt
21,6akBF8JWM8lrpqejdwIfYI
22,1VazDHnEgqsDRDzWwYXfRl
23,17Ko2HhcCAHaXYLwV4uC8C
24,5CTzapBNGovLrqPas4cy7J
25,5CTzapBNGovLrqPas4cy7J
26,3e7Y6sfFlIdBMJhX7wpqVO
27,36wy8sKYBYQKdOBeqA5F0U
28,7JSR685hpFDqvTSNHeSKjL
29,6tarvNiKnEjYMj1VZhlDqR
30,0PV1TFUMTBrDETzW6KQulB
31,1eto1iY3lVWyJhejV6Mi6J
32,28XvT0F0E4sVamI6JRVnmU
33,22WV03i2lBbwNVCE1g671p
34,5jGUJXnELDaDTgiRjD9lsg
35,5zWsOD8aSwx5P7kGb6gQTw
36,69cWxwoTdeCFPNsF25hNCt
37,5xJeZ6tLPOXNIrrphEIuay
38,4UOXo3xWnxYdTf3sFyRaUG
39,2PPJ49WjSLWpMkGrAEsprg
40,794QVQtFNy7hvtjQP1keQd
41,0CZ8lquoTX2Dkg7Ak2inwA
42,5oQcOu1omDykbIPSdSQQNJ
43,0ToC28lLiwEKyQdN4FXypS
44,1t4pPnbkOjzoA5RvsDjvUU
45,3nsgHGUtMnU1MSgy30fHvh
46,2BgEsaKNfHUdlh97KmvFyo
47,6dFn6my1sHK2bcf23GlHwM
48,4UjFWIhRkhrR3mul5gLV5S
49,2Q0JkTzFXrU2BbnQT7tzIR
50,7t69QzoFM2AzsBAlKKVQKO
51,2vATDAftePyHSrY4rP5nmr
52,5Uu4RsEPySR6TyUqXGnDGr
53,5LZSbI69nEiqXSHCqaHQWE
54,4cBSVGEHvZCPGKq2UnB26P
55,3A2yGHWIzmGEIolwonU69h
56,1jM6fCYnlLCV8t3run0yUl
57,6FyRXC8tJUh863JCkyWqtk
58,6MJUCumnQsQEKbCy28tbCP
59,2eqDUxbd0JPEhNrJdPlHLs
60,2aYmP5Ar225yAtOvL6u7cS
61,1qIqGax1IQqJm5H1QxqLcJ
62,0ACu78PvVsOFYIKgRkKbGZ
63,3mvYQKm8h6M5K5h0nVPY9S
64,1otG6j1WHNvl9WgXLWkHTo
65,6PFyGdWw0qnstR8KJAWrrr
66,35V6qXUDCvwZdmbKe5PlPG
67,5LVoGJTyG6fLJgoGkY2QAZ
68,0alSPoUfrGb0RdVVG4Lf3n
69,7ioTfkfPQ6p9tATs9sCZmk
70,0b9KkFVuiKep5IH8O5O8OX
71,0JR7iZZ6Ql79sXW3rbiS3F
72,63Saeg5a3aY8sjitGOCq0F
73,0xKNTDmIym4R2TfKnS4FQo
74,6rDaCGqcQB1urhpCrrD599
75,0pIM7qcu5cOjqwFEFqbVn1
76,07FOCFJhMmCVQDyWX1d3gR
77,7f0vVL3xi4i78Rv5Ptn2s1
78,1Mew3ipJFmRpSj83LRyxod
79,1gGhqfs2pDTOI30AEXMXrn
80,1gGhqfs2pDTOI30AEXMXrn
81,1g3ErLqysBJ5EIGdYYMWFZ
82,4lsEHglVsLzILTDQ3CNESV
83,7gzxLXfpKJXrueC2dwQMD5
84,2skmOCFU64Bg7Ytkgwliwe
85,4VXIryQMWpIdGgYR4TrjT1
86,6X6SdJzxyw7GzxwP2fr9WV
87,6X6SdJzxyw7GzxwP2fr9WV
88,6914ZWSnIGPlQkNgQldTmT
89,3U21A07gAloCc4P7J8rxcn
90,0JAQUGJudVlhRoAqqhVoYX
91,454UyoTlRt9FFI9ErpMPMk
92,0dXNQ8dckG4eYfEtq9zcva
93,6vAQtUlYrzolE6SS9QCTs5
94,66pxmg3Jhjm09tHoWR1wVR
95,3GCdLUSnKSMJhs4Tj6CV3s
96,2BNQpd87nSv475zdww9K0Z
97,6LQBQNvnReU34b5BHMX8XL
98,4XLu3tTSZiPFVC9mmuR6Zp
99,08tq1XcHwVt5PHXUo87i0D
100,2rizacJSyD9S1IQUxUxnsK
101,7tjXeAUgZEe2yE6nSOcqWA
102,1yXFAwSMDZmX2ZyDLLyQ9s
103,3BWlLiQSXXxy3OpL59k7lN
104,2oe6dDthgthqUkfL3czpEd
105,3iVcZ5G6tvkXZkZKlMpIUs
106,2rbDhOo9Fh61Bbu23T2qCk
107,6v3b2lQADc1ugsXvrqYZIB
108,2iCOdoyDmWG3hWkbtH1KB2
109,5fhZ8Pd7ieNCeebaLZDjN3
110,7kmICQg7RYkoeSsET0wVHI
111,2NcstvY8H9PVQ0DMNGHckh
112,0gWoC0IaAIiXLjB6BTH3G2
113,22UDw8rSfLbUsaAGTXQ4Z8
114,1fDsrQ23eTAVFElUMaf38X
115,0mQiDbYxHElUp1eNpLZXaY
116,5KE6acpiakjqiIskbWVfxB
117,5aJ1M43pinROpwaPnO8KRj
118,68QcquxCS39cQGTsRrJWIR
119,1fBl642IhJOE5U319Gy2Go
120,1fBl642IhJOE5U319Gy2Go
121,0U0266U8qEvuhZnHIYZKwd
122,7oYaJTWmimCgePQyID2kP9
123,1HagMz5nWk1HmevNCBOxF3
124,5lr4DTs2cUZqFdFEnl9KqV
125,3NTQws0JI0usmAUXHD8Gia
126,5IkOnAKGDJT5M8KpFIHzsd
127,4PZl0QLHeqYouwy0iASyNF
128,7my1wrfnHqssb3mtHEPWrI
129,4eOlGPkaTntGioy5LFepAI
130,2yWtLaPCOUDyi7f1lOXCn5
131,2yWtLaPCOUDyi7f1lOXCn5
132,0E6PsO3ymCfUh7pJQjBgkj
133,57RA3JGafJm5zRtKJiKPIm
134,4zvqMZ6g4wKZaPpOQvoBpP
135,5wujBwqG7INdStqGd4tRMX
136,2LskIZrCeLxRvCiGP8gxlh
137,3Oj5f6XETShvp2xknJyGMf
138,0KA5Hg6c1vEiulQ1f2LICV
139,59PYgzOiOjGDzjDT5N5oOX
140,7HjNOz8Y7H7uSySXuHNg1Y
141,5mXOdtyPOL6GEuZdCyHSsb
142,3hg8SvlMLkm2lT3HXvU6Lf
143,2vs5ubqg8QUbfyWZpMfvWe
144,4MXhiYIRDMGAuvZc5IFTwC
145,7e9VcJG50IUIpSMLkdralu
146,6rcTyXe8W8kjQLyALBRj1v
147,5RIVAc0J3PAsw4aqkzO7TM
148,2UciqgwVDwro0fev3MFbxJ
149,100eDEmpWV5YGVCqHI0leU
150,7BuHdm4lQqcyG3qTwdkxus
151,6vzRrGER6V3z1oQbUSUlFW
