,spotify_id
0,47fxroOKrDiF1KGNnuUFqr
1,011ZwIM48eD8ee2UBpG8nK
2,4X6UL4zrsK41FaPgpnPcOC
3,6GqqGv8frU7kqzXkm2rewI
4,4XII12nbsvJblXfG1I2QR4
5,4ejyZ4uJEXUURcgKp1kP8v
6,5SO7pvSFiXwU0e1z7C4X7H
7,0lNv90Wo1lnE9GZSJslOvj
8,3iVcZ5G6tvkXZkZKlMpIUs
9,5KcT9rJDqQJUSFF3O9wPJ5
10,3NivHilTTTs8SQwp51yG0X
11,18ssFhD04lWo1RzpcohnrG
12,7dz48pntblPzJ9mTPiUH81
13,3IDu9tPXbzk3tyHUCAgHzQ
14,5cF0dROlMOK5uNZtivgu50
15,2TNhWOFO2BRltGCoIgGQZC
16,6davZgttyPQpw5JWnG3hRI
17,1qCmZnC1FUpNgOydIzqIPC
18,6e2pJqucDMxbp061B40r6O
19,1pCrV2EjZ0KPXivD9U3sSZ
20,7idmHTAQQPUFqdjXkoooXD
21,4HDCLYli2SUdkq9OjmvhSD
22,4HDCLYli2SUdkq9OjmvhSD
23,1B5NWdLAt8GC4WKTPUCrLM
24,3oIVK7arAFuUOCGafPLxSC
25,2jUoKSWTHduXxUL3JomwhB
26,4NpDZPwSXmL0cCTaJuVrCw
27,3tk5DaXxxUoV7b5nOdCDBv
28,3qZwJ1SiY32JW70JqgiFbY
29,24NuEDgyRIljwSyY0lsr7b
30,6wJYhPfqk3KGhHRG76WzOh
31,78qd8dvwea0Gosb6Fe6j3k
32,4MCko2lInqpb0hKRZxRdGz
33,0Ryd8975WihbObpp5cPW1t
34,6Uy6K3KdmUdAfelUp0SeXn
35,1raaNykBg1bDnWENUiglUA
36,3fEoJxnPpfIHwFHKiFtqbA
37,4tW57waWtNZF2CnhQEjPBq
38,6R93ndVLgqG771h7pnX75V
39,0brv7rkLz7TlrcYDoPCqIJ
40,2drtd6SptpMJ1KylMQ7mrE
41,2ToW7zhGCrVrLU4fiKj9U1
42,1Rjk4jlqDbMhIPFTXfP7ud
43,2W0Wz0NzO7u5kcb7dGvv5w
44,6TYlDTa9AQDvjqwbxlvFyI
45,2C0hTkdEoikhKzDCJl32QZ
46,4OtHGdb0KqEbaWb6edUnR9
47,2S82sSBWe86mi1EwNQl7kQ
48,3LQxInXE5OxvADwN2ZWXna
49,5sK3o66yupTNIK6gWgzGjf
50,58AraOVFl5hUtZuPvaOXFw
51,5SiZJoLXp3WOl3J4C8IK0d
52,6RksBSj5fFtPkUnL2EE0oe
53,3cGOBTvkKS4aCsWRR2VPke
54,2izlCxatn0nR7SyRyrkUW1
55,5JipZ8qALcTrPoRRavAd1N
56,74YzCrLzu7fw0AasX3CEwv
57,6pBaH4u4WIFDxzwDaazekR
58,1lPjbmk2TylddPKESSIBfm
59,1z9kQ14XBSN0r2v6fx4IdG
60,4mJNzlooNUYYgWdhFqQeSc
61,23Vq2aaW3u5F7oIFQvP7jy
62,79s5XnCN4TJKTVMSmOx8Ep
63,1zfFle2YCXuUFXlAAZ4QOS
64,0wFGlWGDcXAwjUof6cN2Re
65,17TSJlshgQ5zu0e8dedAla
66,2reL9PAUza4PUtbjqW1fRf
67,6m5AwSncp7jlXRYhs4cwOT
68,2GpMgj0f0OTnPN04cFbs5f
69,719aY5gAzJbx2PHjyalZQu
70,4kZa1KQIYhpOtnvcIg66UE
71,7BilkHwC8zy0Mv67wsGiUM
72,7AKAZxuCnOqkNFVsDxVzYn
73,5OaBhC8NjdqDhHF9I6r9lS
74,0OlwdaMC1Xn0cb2Wm4begv
75,0Y6JVcxzdXaNwHROjoyuww
76,4TnjEaWOeW0eKTKIEvJyCa
77,2ukaTb7sSeWHdr22n1xTBs
78,5GDtkgG9T1BDknHHyDtghv
79,6Eu31gddWw0gOGO506pJYA
80,2vxijCz1x6bxozBE2khCSx
81,1lGHa2pwYzxQHFBUynhLtO
82,2ixD4Uu8tv5i4aiB16aamk
83,2ZlCGeK30BLRNSPC832pNZ
84,1YnSuTb4t29LkGjV6ixULQ
85,2fWRRecCCnzAE4gLBUjz8M
86,10Igtw8bSDyyFs7KIsKngZ
87,4y1GxT1XnufGddKkrFkbtC
88,4BR0bp4qHX1lcBM2HtnoIm
89,0gzu5mm36VJH2Zqu8sQPTf
90,4j7iNxZMrEgb3HVDH8cQWW
91,1HjZDqiaUrq46GHhHXE4vG
92,0FHQe3ZLaLGHX8OdeS02Ii
93,74fV8TuLZKVzSIOOGu8wwI
94,7FIWs0pqAYbP91WWM0vlTQ
95,1nEEXq32QujXMphLIcWVWL
96,3V9QEiXb2iuilvlcm6qXw4
97,6hYvw3LLTViP2mT4MpDNmT
98,0mbQJ2svktRQqCj9nUatUI
99,2lrvQCsMALjGeuyUkuzIxA
100,14sOS5L36385FJ3OL8hew4
101,5l9c6bJmzvftumhz4TMPgk
102,0JvPpTwwD1tu2JCyI2Ojbm
103,0NSwXfEWMG7HIRvXioGu03
104,0xpKRzMR9x53jKSdugItan
105,2o2R6ghiVJfAqEXnlmOihz
106,7ydjUPZFQVYZ54NLmoISfG
107,044qU7kwVZaDwzWnRsmVVL
108,2IHLaN6wwYKQ3S24NsQqpA
109,28Tv8zltFDr5wBCG3Pfky4
110,2mey22JGd3rUXoSuXVXx5w
111,1joLi42twnPqACG3pfcHMM
112,7szuecWAPwGoV1e5vGu8tl
113,7szuecWAPwGoV1e5vGu8tl
114,364dI1bYnvamSnBJ8JcNzN
115,25Rdrp7aqTB3x3coVETp0N
116,2QyTvPHRT9P6ZZSOAzG7eG
117,7uqRFlTZQ7vL1YKGSWmu7h
118,55BALenqt1mQK4XjSfXwVA
119,0UhKDHeZw2kHOz9HiRNFBH
120,31mCYEBAUwcwqOQJR4LGwU
121,3ZwQCZ2LuYwuQ6R1p1CJ3w
122,6g83x0cTTo09ZuZHR0olpk
123,5eEQCfq7MXQr6aHLNRUZLs
124,1hoLUVBx0ixX3kn0EX0P5n
125,5K1vB0WL1rV4pRc57nwomD
126,59iGOjPSOcPLGl3vqEStUp
127,76nqCfJOcFFWBJN32PAksn
128,0TrPqhAMoaKUFLR7iYDokf
129,6NfrH0ANGmgBXyxgV2PeXt
130,2WgyOP8Z1D6GQYumCwH4Dk
131,0K5vPCPPPQYzrKHc17qB1I
132,4KAwczGJxt6Ds54OJF4sqI
133,1fO0o03TIaQgiFFAwsNFRB
134,7DiaNCPgH5dJ1cJ925jTAA
135,0uFForNKQPvgSCnxlZIhQy
136,6tcjcJFRSdkIlThUUP39mJ
137,0j2CNrgtalXRGIvHMO2vzh
138,7xaCQ4kSTrDxekCv794WUA
139,3frUvGrmGcay91lvFbOgsN
140,2gsxeJnGbJQkBddBDr0UTV
141,152lZdxL1OR0ZMW6KquMif
142,1hDRgonnCc4y2KYkPj6GJb
143,3IHBuc46YCTNygqwixZfGH
144,5JWPUEov2wlX7c0jhYZpeB
145,0xpTRDYOYugvdO9Y8sYmUb
146,6Hqk3UKf4uIrdbkJvwM7y3
147,42XC8x6KyeDFe2z8epNDrz
148,7hpJ9tATWb2vztlq99hERP
149,4AQzk2yNWKs6sYhZi6NzVN
150,5Xhqh4lwJPtMUTsdBztN1a
151,7o7ARUQHGogYASmm1hppQr
152,3YCUPKddcFr4s6iL4mj6Xy
153,5OhVQMeCgY0wjNk0i9pl8F
154,0j5QKkgh58UmjjONmDxYhE
155,4zCEJUxsW73s2sIIoM4SLC
156,5zZWKugaE2ZmnZN77HVfUH
157,547rvY6KDcfX9RjQZ4KIUG
