,0
0,5HNCy40Ni5BZJFw1TKzRsC
1,4gMgiXfqyzZLMhsksGmbQV
2,6mFkJmJqdDVQ1REhVfGgd1
3,574y1r7o2tRA009FW0LE7v
4,2ctvdKmETyOzPb2GiJJT53
5,73OIUNKRi2y24Cu9cOLrzM
6,3TO7bbrUKrOSPGRTB5MeCz
7,2TjdnqlpwOjhijHCwHCP2d
8,0vFOzaXqZHahrZp6enQwQb
9,1TKTiKp3zbNgrBH2IwSwIx
10,6FBPOJLxUZEair6x4kLDhf
11,05uGBKRCuePsf43Hfm0JwX
12,1tDWVeCR9oWGX8d5J9rswk
13,1GEOSS415bZVHNuXWlCT6b
14,7F02x6EKYIQV3VcTaTm7oN
15,2dxfyqdrI8XVOT3H1YcOsU
16,2GoeLsETNdx8lRoWW2aeNj
17,325toqbCzE1g1pYIED7U4C
18,1bQ4zbP8Fo0qAePTSOfYji
19,4Ev1LZ4uzjnSvDHpgdyBZK
20,5a4MgIUSf9K8wXLSm6xPEx
21,4Ptku8GHNGaI5GJnmEpZF1
22,2nMRGpC0iszLNkJxBQuQ2a
23,5y1Uc72BAKxaleTEXpcJJq
24,6YdueMw0uSDFj62Ly4Oegp
25,75hr3otyl2HRH2UCFqf2tx
26,3CmHvyZQQAGkKkTjTBFWN6
27,6c6W25YoDGjTq3qSPOga5t
28,43v2xg67VkZVCIDZsKZSPh
29,5qfZRNjt2TkHEL12r3sDEU
30,1mea3bSkSGXuIRvnydlB5b
31,7LVHVU3tWfcxj5aiPFEW4Q
32,77yuzxCS3csrgTPSW0pvyk
33,2bS2ADg123NZWfTUsjra8a
34,6V6goat94tTJOWXXKZstNX
35,6uJwPeBGb3swi85TSr9iIz
36,7fJFDK6XjYsXcMKNHESbot
37,23khhseCLQqVMCIT1WMAns
38,1ZqHjApl3pfzwjweTfMi0g
39,2nvC4i2aMo4CzRjRflysah
40,31L9yLXSj6LpCFupyMV6CR
41,75JFxkI2RXiU7L9VXzMkle
42,0FDzzruyVECATHXKHFs9eJ
43,7clUVcSOtkNWa58Gw5RfD4
44,2U8g9wVcUu9wsg6i7sFSv8
45,6f49kbOuQSOsStBpyGvQfA
46,5H8lr4az4Vo3LloH67yVRt
47,3AJwUDP919kvQ9QcozQPxg
48,0BCPKOYdS2jbQ8iyB56Zns
49,6RUKPb4LETWmmr3iAEQktW
50,3RiPr603aXAoi4GHyXx0uy
51,69uxyAqqPIsUyTO8txoP2M
52,0R8P9KfGJCDULmlEoBagcO
53,39qRdHcl2tizWbzlM9kUlN
54,2w3eXFL86RgxGtDr8bzwgK
55,3l80ChsWwZKAog5KSmcdIG
56,5VSJ9OfZx8V91A7u8Fuoh1
57,2qgXrzJsry4KgYoJCpuaul
58,6IskNuvBwK8YzFrjvXIp5h
59,6ZmtxXUXRVjxOhugKkmerC
60,2KDR0VRWbQ88LQ1cdi8T3z
61,3Gc4zbfvgZSBEfpd0aWEFb
62,4LtSTc3xANVhYeeN69nscM
63,67mmy7Mhim6DmeFHHoqptH
64,0vCxpIQ1ypPPasPuksuKBX
65,6wxm92a18bGEP5N4QusCIx
66,0PivOoKM1sECNTsZ7K6N3h
67,3uIemACmoVRUvjZBrqXbWk
68,3cFbAzmdJFaHWQpJEg2n7h
69,2sNMcxZh7AwImXtrv8UV3S
70,1H5TcdTdMYvOfJ31SAA6H5
71,0ke4LdLYRcNHY03nlYyN47
72,5BIYVps82q4xOFgv5mUcJQ
73,6i0V12jOa3mr6uu4WYhUBr
74,2JzZzZUQj3Qff7wapcbKjc
75,6hnhksrWAA4OYYpKRh8Oqb
76,1MtUq6Wp1eQ8PC6BbPCj8P
77,7gHs73wELdeycvS48JfIos
78,0pqnGHJpmpxLKifKRmU6WP
79,7MXVkk9YMctZqd1Srtv4MB
80,5GXAXm5YOmYT0kL5jHvYBt
81,72jbDTw1piOOj770jWNeaG
82,6RUKPb4LETWmmr3iAEQktW
83,75JFxkI2RXiU7L9VXzMkle
84,0BCPKOYdS2jbQ8iyB56Zns
85,3AJwUDP919kvQ9QcozQPxg
86,7BKLCZ1jbUBVqRi2FVlTVw
87,6mFkJmJqdDVQ1REhVfGgd1
88,5HNCy40Ni5BZJFw1TKzRsC
89,3TO7bbrUKrOSPGRTB5MeCz
90,1TKTiKp3zbNgrBH2IwSwIx
91,1bQ4zbP8Fo0qAePTSOfYji
92,5CQ30WqJwcep0pYcV4AMNc
93,75hr3otyl2HRH2UCFqf2tx
94,40riOy7x9W7GXjyGp4pjAv
95,3YRCqOhFifThpSRFJ1VWFM
96,4ha9ajL4Kz98uldAfuos6p
97,6cr6UDpkjEaMQ80OjWqEBQ
98,3ovjw5HZZv43SxTwApooCM
99,5MxNLUsfh7uzROypsoO5qe
